"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @Shiyoki87: innocent #child - victim of the tyranny #ISIS May god protect you all #TwitterKurds fuckings turks #isis http://t.co/mFiLRTJ…",FALSE,0,NA,2014-10-11 16:12:38,FALSE,NA,"520970236275986433",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HolzMAS",4,TRUE,FALSE,NA,NA
"RT @maria_engstrom: #Turkey #ISIS #Daesh http://t.co/xT1ShULifX",FALSE,0,NA,2014-10-11 16:12:37,FALSE,NA,"520970234837360640",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hope_Zahra",1,TRUE,FALSE,NA,NA
"RT @kurdistannews24: Breaking news: #YPG Kurdish forces killed #ISIS Top commander  Ebu Waleed Al Tunsi just few min ago in #kobane http://…",FALSE,0,NA,2014-10-11 16:12:35,FALSE,NA,"520970226293567488",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","funky_tweeter",420,TRUE,FALSE,NA,NA
"RT @marklindesr: How successful would #ISIS recruiters be in an area like #Ferguson? Asking for @TheRevAl and @RevJJackson",FALSE,0,NA,2014-10-11 16:12:33,FALSE,NA,"520970215845150721",NA,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","Mamadoxie",1,TRUE,FALSE,NA,NA
"RT @turdeau: Like all great French leaders before me, my only military plan is to surrender. #cdnpoli #ISIS",FALSE,0,NA,2014-10-11 16:12:30,FALSE,NA,"520970204730654720",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","checkerboard92",26,TRUE,FALSE,NA,NA
"RT @rConflictNews: #Iraqi journalist killed by #ISIS today was Raad al-Azzawi, let show him the same respect we give to western journos htt…",FALSE,0,NA,2014-10-11 16:12:30,FALSE,NA,"520970203552026625",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","theunisbates",3287,TRUE,FALSE,NA,NA
"RT @KURDISTAN_ARMY: ✌️Three members of a Dutch motorcycle gang join #Kurds in #Kobane to fight #ISIS
_
#TwitterKurds
#SaveKobani
#Kobani ht…",FALSE,0,NA,2014-10-11 16:12:27,FALSE,NA,"520970191337836544",NA,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","snding",90,TRUE,FALSE,NA,NA
"Kurds struggle to defend besieged #Syrian town from #ISIS: Kurdish militiamen are putting up a fierce fight to... http://t.co/vo7eFgymDb",FALSE,0,NA,2014-10-11 16:12:25,FALSE,NA,"520970181535739905",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","News_LNK",0,FALSE,FALSE,NA,NA
"RT @Beebagr_Baluch: Large crowds outside #Parliament in #London as #Kurds protest against #ISIS &amp;rally in support of #Kobane http://t.co/pS…",FALSE,0,NA,2014-10-11 16:12:24,FALSE,NA,"520970177618661376",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","hlk01",10,TRUE,FALSE,NA,NA
"RT @yossi_melman: Shame on you humanity&amp;civilization. Everyone watches as #ISIS barbarians at the gates of #Kobani and does nothing like in…",FALSE,0,NA,2014-10-11 16:12:22,FALSE,NA,"520970168902893570",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jeannesmith1",34,TRUE,FALSE,NA,NA
